Song_id,Song,Singer,Genre,Album,User-Rating,Emotion,videoID,Thumbnail
1097,Pairon Mein Bandhan Hai,"Manohar Shetty, Preetha Mazumdar, Sonali Bhatawdekar, Udbhav",BollywoodDance,Mohabbatein,9.2,Happy,bC7RmYYMqTw,https://img.youtube.com/vi/bC7RmYYMqTw/maxresdefault.jpg
1098,Tum Par Hum Hai Atke Yaara,"Kavita Krishnamurthy, Kumar Sanu",BollywoodDance,Pyaar Kiya To Darna Kya,8.8,Happy,i9qTRW89KHU,https://img.youtube.com/vi/i9qTRW89KHU/maxresdefault.jpg
1099,So Gaya Yeh Jahan,"Alka Yagnik, Nitin Mukesh, Shabbir Kumar",BollywoodDance,Tezaab,8.7,Happy,L4FmY6tuCcs,https://img.youtube.com/vi/L4FmY6tuCcs/maxresdefault.jpg
1100,Wo Ladki Jo Sabse,Abhijeet,BollywoodDance,Baadshah,9.4,Happy,c1GE59WNaAs,https://img.youtube.com/vi/c1GE59WNaAs/maxresdefault.jpg
1101,Sara Zamana,Kishore Kumar,BollywoodDance,Yaarana,8.9,Happy,0AwkZihdw6E,https://img.youtube.com/vi/0AwkZihdw6E/maxresdefault.jpg
1102,Aur Is Dil Mein,"Asha Bhosle, Suresh Wadkar",BollywoodSad,Imaandaar,9,Sad,PoNrhZjxwZg,https://img.youtube.com/vi/PoNrhZjxwZg/maxresdefault.jpg
1103,Mujhse Shaadi Karogi,"Sonu Nigam, Sunidhi Chauhan, Udit Narayan",BollywoodDance,Mujhse Shaadi Karogi,9.2,Happy,iCKp0SmF9T8,https://img.youtube.com/vi/iCKp0SmF9T8/maxresdefault.jpg
1104,Challa,"Babbu Maan, Suzanne D'Mello",BollywoodDance,Crook,9.3,Happy,9a4izd3Rvdw,https://img.youtube.com/vi/9a4izd3Rvdw/maxresdefault.jpg
1105,Tu Hi Toh Meri Dost Hai,"A.R. Rahman, Benny Dayal, Shreya Ghoshal",BollywoodDance,Yuvvraaj,9.6,Happy,NWdasSZcvHY,https://img.youtube.com/vi/NWdasSZcvHY/maxresdefault.jpg
1106,Maa Sheranwali,Shabbir Kumar,BollywoodDevotional,Coolie,7.6,Angry,UpVyyolM2qQ,https://img.youtube.com/vi/UpVyyolM2qQ/maxresdefault.jpg
1107,Kuch Din,Jubin Nautiyal,BollywoodRomantic,Kaabil,9.3,Happy,pwVQmA4FVkE,https://img.youtube.com/vi/pwVQmA4FVkE/maxresdefault.jpg
1108,Tu Na Ja Mere Badshah,"Alka Yagnik, Mohammad Aziz",BollywoodSad,Khuda Gawah,8.4,Sad,dXgiVG2P_Uc,https://img.youtube.com/vi/dXgiVG2P_Uc/maxresdefault.jpg
1109,Rani Tu Mein Raja (,"Bhavya Pandit, Mika Singh, Yo Yo Honey Singh",BollywoodDance,Son of Sardaar,8.3,Happy,gpQpCfkP6u4,https://img.youtube.com/vi/gpQpCfkP6u4/maxresdefault.jpg
1110,Rani Tu Mein Raja (,"Bhavya Pandit, Mika Singh, Yo Yo Honey Singh",BollywoodDance,Son of Sardaar,8.3,Happy,gpQpCfkP6u4,https://img.youtube.com/vi/gpQpCfkP6u4/maxresdefault.jpg
1111,Bholi Si Surat,"Lata Mangeshkar, Udit Narayan",BollywoodRomantic,Dil To Pagal Hai,9.3,Happy,IsPOtygII-Q,https://img.youtube.com/vi/IsPOtygII-Q/maxresdefault.jpg
1112,Tere Naina,"Shaan, Shreya Ghoshal",BollywoodRomantic,Jai Ho,9.2,Happy,qYjPxdLIuk0,https://img.youtube.com/vi/qYjPxdLIuk0/maxresdefault.jpg
1113,O Rangrez,Divya Kumar,BollywoodRomantic,Bhaag Milkha Bhaag,9.6,Happy,5idNBcKDtvA,https://img.youtube.com/vi/5idNBcKDtvA/maxresdefault.jpg
1114,Jise Dekh Mera Dil Dhadke,Kumar Sanu,BollywoodRomantic,Phool Aur Kaante,8.5,Happy,4NYY1bRLTCc,https://img.youtube.com/vi/4NYY1bRLTCc/maxresdefault.jpg
1115,Tumko To Aana Hi Tha,"Armaan Malik, Marianne D'Cruz",BollywoodRomantic,Jai Ho,9.5,Happy,c0F63O5uE-M,https://img.youtube.com/vi/c0F63O5uE-M/maxresdefault.jpg
1116,Khwaab Ho Tum Ya Koi,Kishore Kumar,BollywoodRomantic,Teen Deviyan,9.4,Happy,Jw4wLVnFJ-E,https://img.youtube.com/vi/Jw4wLVnFJ-E/maxresdefault.jpg
1117,Chor Bazari,Neeraj Shridhar,BollywoodDance,Love Aj Kal,9.3,Happy,sDne5fEsxec,https://img.youtube.com/vi/sDne5fEsxec/maxresdefault.jpg
1118,Jaati Hoon Main,"Alka Yagnik, Kumar Sanu, Udit Narayan",Bollywood,Karan Arjun,8.9,Neutral,l7iTcZ__Ejg,https://img.youtube.com/vi/l7iTcZ__Ejg/maxresdefault.jpg
1119,Saanson Ne,"Sonu Nigam, Tulsi Kumar",BollywoodRomantic,Dabangg 2,9,Happy,TBQqW7FuBu0,https://img.youtube.com/vi/TBQqW7FuBu0/maxresdefault.jpg
1120,Mr. Lova Lova,"Abhijeet, Kavita Krishnamurthy, Sudesh Bhosle, Udit Narayan, Vibha Sharma",BollywoodDance,Ishq,9.1,Happy,UTFyDM_mR_c,https://img.youtube.com/vi/UTFyDM_mR_c/maxresdefault.jpg
1121,Ladka Yeh Kehta Hai,K.K.,BollywoodDance,Main Prem Ki Diwani Hoon,9.1,Happy,AB4xJhADpUs,https://img.youtube.com/vi/AB4xJhADpUs/maxresdefault.jpg
1122,Tum Dil Ki Dhadkan Mein,"Abhijeet, Alka Yagnik, Kumar Sanu",BollywoodRomantic,Dhadkan,9,Happy,3Z_x7vBqr6E,https://img.youtube.com/vi/3Z_x7vBqr6E/maxresdefault.jpg
1123,Halla Re,"Salim Merchant, Shweta Pandit",BollywoodDance,Neal 'n' Nikki,9.1,Happy,Ss7xLBphwoE,https://img.youtube.com/vi/Ss7xLBphwoE/maxresdefault.jpg
1124,Tu Bhoola Jise,K.K.,BollywoodPatriotic,Airlift,9.7,Neutral,fiJWyk_a5HI,https://img.youtube.com/vi/fiJWyk_a5HI/maxresdefault.jpg
1125,Teri Yaad,"Badshah, Himesh Reshammiya",BollywoodSad,Teraa Surroor,9,Sad,k4sv4Sdp_DU,https://img.youtube.com/vi/k4sv4Sdp_DU/maxresdefault.jpg
1126,Tum Saanson Mein,"Himesh Reshammiya, Tulsi Kumar",BollywoodRomantic,Humko Deewana Kar Gaye,9,Happy,YixKjXWLKqs,https://img.youtube.com/vi/YixKjXWLKqs/maxresdefault.jpg
1127,Yeh Jo Des Hai Tera,A.R. Rahman,BollywoodPatriotic,Swades,9.6,Neutral,4tiVPuLbbHg,https://img.youtube.com/vi/4tiVPuLbbHg/maxresdefault.jpg
1128,Jab Tak Hai Jaan,Shakthi Sree Gopalan,BollywoodRomantic,Jab Tak Hai Jaan,9.7,Happy,VAt6TO2gdko,https://img.youtube.com/vi/VAt6TO2gdko/maxresdefault.jpg
1129,Teri Yaad Aati Hai,"Lata Mangeshkar, Suresh Wadkar",BollywoodSad,Saudagar,8,Sad,NgXrJH-9Syc,https://img.youtube.com/vi/NgXrJH-9Syc/maxresdefault.jpg
1130,Jee Le Zaraa,Vishal Dadlani,BollywoodRomantic,Talaash,9.4,Happy,fhs6wYi4Jr0,https://img.youtube.com/vi/fhs6wYi4Jr0/maxresdefault.jpg
1131,Bekarar Karke Hume,Hemant Kumar,BollywoodRomantic,Bees Saal Baad,9.5,Happy,ofjT0GcUijo,https://img.youtube.com/vi/ofjT0GcUijo/maxresdefault.jpg
1132,Tumhari Nazar Kyon Khafa Ho Gayi,"Lata Mangeshkar, Mohammed Rafi",Bollywood,Do Kaliyan,8.4,Neutral,0aMYlPkoXEE,https://img.youtube.com/vi/0aMYlPkoXEE/maxresdefault.jpg
1133,Chichora Piya,"Himesh Reshammiya, Shalmali Kholgade",BollywoodDance,Action Jackson,8.7,Happy,bC53bbMCtng,https://img.youtube.com/vi/bC53bbMCtng/maxresdefault.jpg
